	Moffitt_tumor_predicted	Collison_predicted	Bailey_predicted	MFP	Cohort
Ge0071	Classical	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0072	Classical	Classical	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0098	Classical	Classical	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0100	Classical	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0101	Classical	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0105	Classical	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0108	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0109	Classical	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0119	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0120d	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0126	Basal-like	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0127	Basal-like	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0128	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0131	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0143	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0145	Classical	Exocrine	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0148	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0151	Classical	Classical	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0154	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0156	Basal-like	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0159	Basal-like	Exocrine	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0160	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0163	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0165	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0166	Classical	Exocrine	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0167	Classical	Classical	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0180	Classical	Classical	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0183	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0184	Basal-like	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0185	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0205	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0208	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0216	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0225	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0234	Basal-like	Classical	Squamous	IE	PUB_Bauer_EMTAB1791
Ge0240	Basal-like	Classical	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0248	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0269	Basal-like	Classical	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0288	Basal-like	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0301	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0303	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0313	Classical	Classical	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0322	Classical	Exocrine	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0325	Classical	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0326	Classical	Classical	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0329	Classical	Exocrine	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0340	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0359	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0360	Basal-like	Classical	ADEX	F	PUB_Bauer_EMTAB1791
Ge0361	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0367	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0375	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0382	Classical	Classical	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0395	Basal-like	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0405	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0408	Basal-like	QM	Squamous	IE	PUB_Bauer_EMTAB1791
Ge0414	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0417	Basal-like	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0457	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0458	Classical	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0459	Basal-like	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0461	Basal-like	Exocrine	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0463	Classical	Exocrine	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0467	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0468	Classical	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0470	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0472	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Bauer_EMTAB1791
Ge0473	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0474	Classical	Classical	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0511	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0517d	Classical	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0519	Classical	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0525	Classical	Classical	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0547	Basal-like	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0553	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0564	Classical	Classical	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0565	Classical	QM	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0566	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0569precip	Basal-like	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0573	Classical	Exocrine	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0583	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0595	Basal-like	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0597	Basal-like	QM	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0603	Classical	Exocrine	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0618	Classical	Classical	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0631	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0640	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0646	Classical	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0647	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0648	Classical	Classical	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0653	Classical	Classical	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0665	Classical	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0699	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0701	Classical	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0702	Classical	Classical	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0704	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0705	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0706	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0714	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Bauer_EMTAB1791
Ge0715	Basal-like	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0725	Classical	Classical	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0726	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0730	Classical	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0732	Basal-like	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0733	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0734	Basal-like	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0735	Classical	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0740	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0741	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0742	Basal-like	QM	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0743	Basal-like	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0746	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0747	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0755	Classical	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0757	Basal-like	QM	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0760	Classical	Classical	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0761	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0762	Classical	Exocrine	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0764	Classical	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0765	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0767	Basal-like	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0769	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0790	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0791	Basal-like	Exocrine	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0792	Classical	Classical	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0793	Classical	Classical	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0794	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0796	Basal-like	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0797	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Bauer_EMTAB1791
Ge0798	Basal-like	Exocrine	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0799	Basal-like	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0801	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Bauer_EMTAB1791
Ge0802	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0806	Classical	Classical	Pancreatic_Progenitor	F	PUB_Bauer_EMTAB1791
Ge0809	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0811	Basal-like	QM	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0812	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Bauer_EMTAB1791
Ge0813	Classical	Exocrine	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0814	Basal-like	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0815	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0821	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0822	Classical	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge0832	Basal-like	Exocrine	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0835	Classical	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0836	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0838	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0840	Classical	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0841	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0843	Basal-like	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0844	Classical	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0845	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0847	Classical	Classical	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0848	Classical	QM	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0849	Classical	Classical	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0850	Classical	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0851	Classical	Classical	ADEX	F	PUB_Bauer_EMTAB1791
Ge0852	Classical	Exocrine	ADEX	IE	PUB_Bauer_EMTAB1791
Ge0854	Classical	Classical	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0855	Classical	Classical	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0856	Basal-like	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0864	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0865	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0866	Basal-like	QM	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0867	Basal-like	Exocrine	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0868	Classical	Classical	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0870	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge0871	Classical	Classical	Immunogenic	F	PUB_Bauer_EMTAB1791
Ge0944	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge0945	Classical	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0948	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Bauer_EMTAB1791
Ge0954	Basal-like	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0958	Classical	Classical	Squamous	ID	PUB_Bauer_EMTAB1791
Ge0960	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0961	Classical	Exocrine	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge0971d	Basal-like	QM	Squamous	F	PUB_Bauer_EMTAB1791
Ge0993	Classical	Exocrine	Immunogenic	IE	PUB_Bauer_EMTAB1791
Ge0995	Basal-like	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge0998	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
Ge1005	Classical	Exocrine	ADEX	ID	PUB_Bauer_EMTAB1791
Ge1006	Basal-like	Exocrine	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge1021	Classical	QM	Immunogenic	IEF	PUB_Bauer_EMTAB1791
Ge1022	Basal-like	QM	Immunogenic	ID	PUB_Bauer_EMTAB1791
Ge1023	Classical	Exocrine	ADEX	IEF	PUB_Bauer_EMTAB1791
Ge1026	Classical	Exocrine	ADEX	F	PUB_Bauer_EMTAB1791
GSM1494933	Classical	Exocrine	ADEX	ID	PUB_Sandhu_GSE60979
GSM1494934	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494935	Basal-like	QM	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1494936	Basal-like	Exocrine	Squamous	ID	PUB_Sandhu_GSE60979
GSM1494937	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494938	Classical	Exocrine	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1494939	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494940	Basal-like	Exocrine	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1494941	Basal-like	Exocrine	Immunogenic	IEF	PUB_Sandhu_GSE60979
GSM1494942	Basal-like	QM	Squamous	F	PUB_Sandhu_GSE60979
GSM1494943	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494944	Classical	Exocrine	ADEX	IE	PUB_Sandhu_GSE60979
GSM1494945	Basal-like	QM	Squamous	ID	PUB_Sandhu_GSE60979
GSM1494946	Basal-like	QM	Squamous	IEF	PUB_Sandhu_GSE60979
GSM1494947	Basal-like	QM	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1494948	Basal-like	QM	Squamous	F	PUB_Sandhu_GSE60979
GSM1494949	Basal-like	Exocrine	ADEX	F	PUB_Sandhu_GSE60979
GSM1494950	Basal-like	QM	Squamous	IEF	PUB_Sandhu_GSE60979
GSM1494951	Classical	QM	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1494952	Classical	Exocrine	Immunogenic	IEF	PUB_Sandhu_GSE60979
GSM1494953	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Sandhu_GSE60979
GSM1494954	Basal-like	Exocrine	ADEX	F	PUB_Sandhu_GSE60979
GSM1494955	Classical	Exocrine	Immunogenic	IEF	PUB_Sandhu_GSE60979
GSM1494956	Basal-like	Classical	Squamous	IE	PUB_Sandhu_GSE60979
GSM1494957	Basal-like	Exocrine	Squamous	F	PUB_Sandhu_GSE60979
GSM1494958	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Sandhu_GSE60979
GSM1494959	Basal-like	Exocrine	Squamous	ID	PUB_Sandhu_GSE60979
GSM1494960	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494961	Classical	Exocrine	ADEX	ID	PUB_Sandhu_GSE60979
GSM1494962	Basal-like	Exocrine	Squamous	F	PUB_Sandhu_GSE60979
GSM1494963	Basal-like	Exocrine	ADEX	F	PUB_Sandhu_GSE60979
GSM1494964	Basal-like	QM	Squamous	F	PUB_Sandhu_GSE60979
GSM1494965	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494966	Classical	Exocrine	ADEX	ID	PUB_Sandhu_GSE60979
GSM1494967	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494968	Basal-like	QM	Immunogenic	F	PUB_Sandhu_GSE60979
GSM1494969	Classical	Exocrine	ADEX	F	PUB_Sandhu_GSE60979
GSM1494970	Classical	Classical	Immunogenic	F	PUB_Sandhu_GSE60979
GSM1494971	Basal-like	QM	Squamous	F	PUB_Sandhu_GSE60979
GSM1494972	Classical	Exocrine	ADEX	IEF	PUB_Sandhu_GSE60979
GSM1494973	Basal-like	Exocrine	Squamous	F	PUB_Sandhu_GSE60979
GSM1494974	Basal-like	Exocrine	Squamous	IE	PUB_Sandhu_GSE60979
GSM1494975	Classical	Classical	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1494976	Classical	Exocrine	ADEX	F	PUB_Sandhu_GSE60979
GSM1494977	Classical	Classical	Squamous	ID	PUB_Sandhu_GSE60979
GSM1494978	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Sandhu_GSE60979
GSM1494979	Basal-like	Exocrine	Squamous	ID	PUB_Sandhu_GSE60979
GSM1494980	Classical	Classical	Squamous	ID	PUB_Sandhu_GSE60979
GSM1494981	Classical	QM	Immunogenic	IE	PUB_Sandhu_GSE60979
GSM1383778	Classical	QM	Squamous	F	PUB_Chen_GSE57495
GSM1383779	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383780	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Chen_GSE57495
GSM1383781	Classical	QM	Immunogenic	F	PUB_Chen_GSE57495
GSM1383782	Classical	QM	Squamous	F	PUB_Chen_GSE57495
GSM1383783	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Chen_GSE57495
GSM1383784	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Chen_GSE57495
GSM1383785	Classical	QM	Squamous	ID	PUB_Chen_GSE57495
GSM1383786	Classical	QM	Immunogenic	IE	PUB_Chen_GSE57495
GSM1383787	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383788	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383789	Basal-like	QM	Squamous	F	PUB_Chen_GSE57495
GSM1383790	Classical	QM	Pancreatic_Progenitor	F	PUB_Chen_GSE57495
GSM1383791	Classical	Classical	ADEX	IEF	PUB_Chen_GSE57495
GSM1383792	Basal-like	Exocrine	Squamous	IE	PUB_Chen_GSE57495
GSM1383793	Classical	Exocrine	ADEX	F	PUB_Chen_GSE57495
GSM1383794	Classical	Exocrine	ADEX	IE	PUB_Chen_GSE57495
GSM1383795	Classical	Classical	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383796	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383797	Basal-like	QM	Immunogenic	F	PUB_Chen_GSE57495
GSM1383798	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383799	Basal-like	QM	Immunogenic	IE	PUB_Chen_GSE57495
GSM1383800	Classical	Classical	ADEX	ID	PUB_Chen_GSE57495
GSM1383801	Basal-like	QM	Squamous	ID	PUB_Chen_GSE57495
GSM1383802	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383803	Classical	Classical	Pancreatic_Progenitor	F	PUB_Chen_GSE57495
GSM1383804	Basal-like	Exocrine	ADEX	F	PUB_Chen_GSE57495
GSM1383805	Basal-like	QM	Squamous	ID	PUB_Chen_GSE57495
GSM1383806	Basal-like	QM	Squamous	F	PUB_Chen_GSE57495
GSM1383807	Basal-like	QM	Immunogenic	F	PUB_Chen_GSE57495
GSM1383808	Basal-like	QM	Squamous	IE	PUB_Chen_GSE57495
GSM1383809	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Chen_GSE57495
GSM1383810	Classical	Classical	ADEX	F	PUB_Chen_GSE57495
GSM1383811	Classical	Exocrine	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383812	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383813	Classical	Classical	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383814	Classical	Classical	Immunogenic	IE	PUB_Chen_GSE57495
GSM1383815	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383816	Classical	Exocrine	ADEX	IE	PUB_Chen_GSE57495
GSM1383817	Classical	Classical	ADEX	IE	PUB_Chen_GSE57495
GSM1383818	Basal-like	QM	Squamous	F	PUB_Chen_GSE57495
GSM1383819	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383820	Basal-like	QM	Squamous	ID	PUB_Chen_GSE57495
GSM1383821	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383822	Basal-like	QM	Immunogenic	IE	PUB_Chen_GSE57495
GSM1383823	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Chen_GSE57495
GSM1383824	Classical	Classical	Immunogenic	IE	PUB_Chen_GSE57495
GSM1383825	Classical	Exocrine	ADEX	IE	PUB_Chen_GSE57495
GSM1383826	Classical	Classical	Immunogenic	IE	PUB_Chen_GSE57495
GSM1383827	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Chen_GSE57495
GSM1383828	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Chen_GSE57495
GSM1383829	Basal-like	QM	Squamous	ID	PUB_Chen_GSE57495
GSM1383830	Classical	Classical	Pancreatic_Progenitor	F	PUB_Chen_GSE57495
GSM1383831	Classical	Classical	Squamous	ID	PUB_Chen_GSE57495
GSM1383832	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Chen_GSE57495
GSM1383833	Basal-like	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383834	Classical	QM	Immunogenic	IEF	PUB_Chen_GSE57495
GSM1383835	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383836	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383837	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383838	Classical	Exocrine	ADEX	IEF	PUB_Chen_GSE57495
GSM1383839	Basal-like	QM	Squamous	F	PUB_Chen_GSE57495
GSM1383840	Basal-like	QM	Squamous	ID	PUB_Chen_GSE57495
GSM1520738	Classical	Classical	ADEX	IE	PUB_Janky_GSE62165
GSM1520740	Classical	Classical	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520741	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520742	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520743	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520744	Basal-like	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520745	Classical	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520746	Basal-like	QM	Immunogenic	ID	PUB_Janky_GSE62165
GSM1520747	Classical	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520748	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520749	Classical	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520751	Basal-like	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520752	Classical	Classical	ADEX	IE	PUB_Janky_GSE62165
GSM1520753	Basal-like	QM	ADEX	ID	PUB_Janky_GSE62165
GSM1520754	Classical	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520755	Classical	Exocrine	ADEX	ID	PUB_Janky_GSE62165
GSM1520756	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520757	Basal-like	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520758	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520759	Basal-like	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520760	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Janky_GSE62165
GSM1520761	Basal-like	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520763	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520764	Basal-like	QM	Immunogenic	IEF	PUB_Janky_GSE62165
GSM1520765	Classical	QM	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520766	Basal-like	QM	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520767	Basal-like	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520768	Classical	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520769	Basal-like	QM	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520770	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520771	Basal-like	QM	ADEX	F	PUB_Janky_GSE62165
GSM1520772	Basal-like	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520773	Classical	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520774	Classical	QM	ADEX	F	PUB_Janky_GSE62165
GSM1520775	Classical	Classical	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520776	Classical	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520778	Classical	Exocrine	ADEX	ID	PUB_Janky_GSE62165
GSM1520779	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
